0 4.370723 
1 4.130259 
2 3.885822 
3 3.651220 
4 3.434776 
5 3.239601 
6 3.065053 
7 2.906896 
8 2.757688 
9 2.612038 
10 2.479205 
11 2.379083 
12 2.314792 
13 2.267349 
14 2.222476 
15 2.174684 
16 2.123961 
17 2.071861 
18 2.018698 
19 1.959277 
20 1.883968 
21 1.784633 
22 1.655663 
23 1.493966 
24 1.298803 
25 1.080077 
26 0.886369 
27 0.848191 
28 1.007166 
29 1.219724 
30 1.416130 
31 1.581553 
32 1.718368 
33 1.832233 
34 1.927493 
35 2.006814 
36 2.071778 
37 2.123332 
38 2.162024 
39 2.188131 
